,Unnamed: 0,CV System RMSE,CV X-Recovery L0 Err,CV X-Recovery L2 Err,Cardinality,Experiment,Infeasible System RMSE,Infeasible X-Recovery L0 Err,Infeasible X-Recovery L2 Err,L0 Thresh,M,Method,N,Noise STD,Normalize A,Type A,d_x0,num_bits,type_x0,w_fp,x0_max,x0_min
0,0,0.4971781483202756,35.0,0.7036504613068981,40.0,0.0,0.08259105356178909,22.0,0.7036504613068981,0.1,90.0,Lasso,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
1,1,0.6618229221193345,31.0,0.9903488486195045,40.0,0.0,0.5026833496571563,31.0,0.9612244240578472,0.1,90.0,OMP,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
2,2,0.3218514115148219,34.0,0.5251636976856155,40.0,1.0,0.03605653260611947,22.0,0.5251636976856155,0.1,90.0,Lasso,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
3,3,0.5386592997046006,32.0,0.9741811463607244,40.0,1.0,0.2506508144842676,31.0,0.9579327854704692,0.1,90.0,OMP,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
4,4,0.01471924924350772,0.0,0.02129235690307116,40.0,2.0,0.005004604866760345,0.0,0.02129235690307116,0.1,90.0,Lasso,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
5,5,0.5935948593286231,28.0,0.9424347904287704,40.0,2.0,0.2411716539380669,22.0,0.8781693102049521,0.1,90.0,OMP,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
6,6,0.002861262039778272,0.0,0.004054435168637832,40.0,3.0,0.001625421036222961,0.0,0.004054435168637832,0.1,90.0,Lasso,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
7,7,0.37355918851410064,14.0,0.6183313650584019,40.0,3.0,0.13808165810403367,13.0,0.610677098928697,0.1,90.0,OMP,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
8,8,0.4277648043894807,29.0,0.6217250309603367,40.0,4.0,0.07407671061584885,23.0,0.6217250309603367,0.1,90.0,Lasso,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
9,9,0.6296912017420422,33.0,0.9760921654929542,40.0,4.0,0.4217257603910104,31.0,0.9514557944866688,0.1,90.0,OMP,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
