﻿Type A,﻿type_x0,N,M,﻿Cardinality,﻿Noise STD,﻿Experiment,﻿Infeasible X-Recovery L0 Err,﻿Method
low_coherence,binary,160,80,30,0,0,0,QUBO L0
low_coherence,binary,160,80,30,0,1,0,QUBO L0
low_coherence,binary,160,80,30,0,2,0,QUBO L0
low_coherence,binary,160,80,30,0,3,0,QUBO L0
low_coherence,binary,160,80,30,0,4,0,QUBO L0
low_coherence,binary,160,80,30,0,5,0,QUBO L0
low_coherence,binary,160,80,30,0,6,0,QUBO L0
low_coherence,binary,160,80,30,0,7,0,QUBO L0
low_coherence,binary,160,80,30,0,8,0,QUBO L0
low_coherence,binary,160,80,30,0,9,0,QUBO L0
low_coherence,binary,160,80,30,0,10,0,QUBO L0
low_coherence,binary,160,80,30,0,11,0,QUBO L0
low_coherence,binary,160,80,30,0,12,0,QUBO L0
low_coherence,binary,160,80,30,0,13,0,QUBO L0
low_coherence,binary,160,80,30,0,14,0,QUBO L0
low_coherence,binary,160,80,30,0,15,0,QUBO L0
low_coherence,binary,160,80,30,0,16,0,QUBO L0
low_coherence,binary,160,80,30,0,17,0,QUBO L0
low_coherence,binary,160,80,30,0,18,0,QUBO L0
low_coherence,binary,160,80,30,0,19,0,QUBO L0
low_coherence,binary,160,60,30,0.1,0,0,QUBO L0
low_coherence,binary,160,60,30,0.1,1,0,QUBO L0
low_coherence,binary,160,60,30,0.1,2,0,QUBO L0
low_coherence,binary,160,60,30,0.1,3,0,QUBO L0
low_coherence,binary,160,60,30,0.1,4,0,QUBO L0
low_coherence,binary,160,60,30,0.1,5,0,QUBO L0
low_coherence,binary,160,60,30,0.1,6,0,QUBO L0
low_coherence,binary,160,60,30,0.1,7,0,QUBO L0
low_coherence,binary,160,60,30,0.1,8,0,QUBO L0
low_coherence,binary,160,60,30,0.1,9,0,QUBO L0
low_coherence,binary,160,60,30,0.1,10,0,QUBO L0
low_coherence,binary,160,60,30,0.1,11,0,QUBO L0
low_coherence,binary,160,60,30,0.1,12,0,QUBO L0
low_coherence,binary,160,60,30,0.1,13,0,QUBO L0
low_coherence,binary,160,60,30,0.1,14,0,QUBO L0
low_coherence,binary,160,60,30,0.1,15,0,QUBO L0
low_coherence,binary,160,60,30,0.1,16,0,QUBO L0
low_coherence,binary,160,60,30,0.1,17,0,QUBO L0
low_coherence,binary,160,60,30,0.1,18,0,QUBO L0
low_coherence,binary,160,60,30,0.1,19,0,QUBO L0
low_coherence,binary,160,130,30,0.1,0,0,QUBO L0
low_coherence,binary,160,130,30,0.1,1,0,QUBO L0
low_coherence,binary,160,130,30,0.1,2,0,QUBO L0
low_coherence,binary,160,130,30,0.1,3,0,QUBO L0
low_coherence,binary,160,130,30,0.1,4,0,QUBO L0
low_coherence,binary,160,130,30,0.1,5,0,QUBO L0
low_coherence,binary,160,130,30,0.1,6,0,QUBO L0
low_coherence,binary,160,130,30,0.1,7,0,QUBO L0
low_coherence,binary,160,130,30,0.1,8,0,QUBO L0
low_coherence,binary,160,130,30,0.1,9,0,QUBO L0
low_coherence,binary,160,130,30,0.1,10,0,QUBO L0
low_coherence,binary,160,130,30,0.1,11,0,QUBO L0
low_coherence,binary,160,130,30,0.1,12,0,QUBO L0
low_coherence,binary,160,130,30,0.1,13,0,QUBO L0
low_coherence,binary,160,130,30,0.1,14,0,QUBO L0
low_coherence,binary,160,130,30,0.1,15,0,QUBO L0
low_coherence,binary,160,130,30,0.1,16,0,QUBO L0
low_coherence,binary,160,130,30,0.1,17,0,QUBO L0
low_coherence,binary,160,130,30,0.1,18,0,QUBO L0
low_coherence,binary,160,130,30,0.1,19,0,QUBO L0
low_coherence,binary,160,80,30,0.05,0,0,QUBO L0
low_coherence,binary,160,80,30,0.05,1,0,QUBO L0
low_coherence,binary,160,80,30,0.05,2,0,QUBO L0
low_coherence,binary,160,80,30,0.05,3,0,QUBO L0
low_coherence,binary,160,80,30,0.05,4,0,QUBO L0
low_coherence,binary,160,80,30,0.05,5,0,QUBO L0
low_coherence,binary,160,80,30,0.05,6,0,QUBO L0
low_coherence,binary,160,80,30,0.05,7,0,QUBO L0
low_coherence,binary,160,80,30,0.05,8,0,QUBO L0
low_coherence,binary,160,80,30,0.05,9,0,QUBO L0
low_coherence,binary,160,80,30,0.05,10,0,QUBO L0
low_coherence,binary,160,80,30,0.05,11,0,QUBO L0
low_coherence,binary,160,80,30,0.05,12,0,QUBO L0
low_coherence,binary,160,80,30,0.05,13,0,QUBO L0
low_coherence,binary,160,80,30,0.05,14,0,QUBO L0
low_coherence,binary,160,80,30,0.05,15,0,QUBO L0
low_coherence,binary,160,80,30,0.05,16,0,QUBO L0
low_coherence,binary,160,80,30,0.05,17,0,QUBO L0
low_coherence,binary,160,80,30,0.05,18,0,QUBO L0
low_coherence,binary,160,80,30,0.05,19,0,QUBO L0
low_coherence,binary,160,80,30,0.15,0,0,QUBO L0
low_coherence,binary,160,80,30,0.15,1,0,QUBO L0
